source_type,source_path,feature,scenario,tags,status,notes
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Single member places a lab visit order via UI and verifies via getOrderById API with coupon,@hybridLabOrderMemberCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Single member places a lab visit order with reward and coupon via UI and verifies via getOrderById API,@hybridLabOrderMemberRewardCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Single non-member places a lab visit order via UI and verifies via getOrderById API,@hybridLabOrderNonMember,Implemented,
Cucumber,src/test/resources/Feature/TC_11_PayOnline_HybridFlow.feature,"Place lab orders and complete payment via UI, then verify via getOrderById API",Single non-member places a lab visit order via UI with coupon and verifies via getOrderById API,@hybridLabOrderNonMemberCoupon,Implemented,
Cucumber,src/test/resources/Feature/TC_12_AddAddress.feature,User Address Management in Profile Page,Place a lab visit for a single member and complete online payment in most popular packages,@NewUserRegistration @registration_with_address,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a home sample visit for a single  non member and complete online payment  in most popular packages,@singleHomeOrderWithoutMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a home sample visit for a single member and complete online payment  in most popular packages,@singleHomeOrderMembershipp @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membershipp,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),@add_member_multi_home_order_without_membershipp,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_membershipp,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_lab_order_without_membershipp,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a lab visit for a single member and complete online payment  in most popular packages,@singleLabOrderMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_13_GlobalSearch.feature,Place lab orders and pay online from global search,Place a lab visit for a single non member and complete online payment  in most popular packages,@singleLabOrderWithoutMembershipp @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_14_SmartChoices.feature,Place lab orders and pay online in smart choice filter for single and multiple members for member and non member scenarios,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_14_SmartChoices.feature,Place lab orders and pay online in smart choice filter for single and multiple members for member and non member scenarios,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),@add_member_multi_home_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_14_SmartChoices.feature,Place lab orders and pay online in smart choice filter for single and multiple members for member and non member scenarios,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@global_search_multi_lab_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_14_SmartChoices.feature,Place lab orders and pay online in smart choice filter for single and multiple members for member and non member scenarios,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_lab_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_15_DNADecoderPanelsAtGlance.feature,Booking a DNA decoder Lab visit test with membership,(unnamed scenario),,Implemented,
JavaTest,src/test/java/com/mryoda/diagnostics/api/base/BaseTest.java,for,for,,Implemented,Test class/runner
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/AddressAPITest.java,AddressAPITest,testAddAddress_ForMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/AddressAPITest.java,AddressAPITest,testAddAddress_ForNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/AddressAPITest.java,AddressAPITest,testAddAddress_ForNonMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/GetAddressByUserIdAPITest.java,GetAddressByUserIdAPITest,testGetAddressByUserId_ForMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/GetAddressByUserIdAPITest.java,GetAddressByUserIdAPITest,testGetAddressByUserId_ForNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/address/GetAddressByUserIdAPITest.java,GetAddressByUserIdAPITest,testGetAddressByUserId_ForNonMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/COD_01_LoginTest.java,COD_01_LoginTest,step01_LoginAndSetup,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/COD_06_PhlebotomistLoginTest.java,COD_06_PhlebotomistLoginTest,step06_PhlebotomistLogin,,Implemented,@Test method
